Club Name,District,Project Category,Project Title,Project Description
Elmira,New York,Other,Hometown Heroes Banner Program,"""We have over 300 banners displayed in the City of Elmira from May thru November with additional people on a waiting list"""
Baton Rouge,Louisiana-Mississippi-West Tennessee,Childhood literacy,3Rs for 3BR,"""Program to allow in need children select the book of their choice at health centers and schools"""
Delaware,Ohio,Childhood literacy,Young People's Literacy/Writer's Project,"""One of our members is a children's book author. He works with one of our local elementary schools each year to promote literacy and to conduct a writing workshop for 4th/5th graders free. Our Club purchases a book for each of the students involved in the writing workshop."""
Nashville,Kentucky-Tennessee,Childhood literacy,Read with Kiwanis/Leer con Kiwanis,"""Provide free English/Spanish books to underprivileged youth through the Hispanic Family Foundation.  This is ongoing but on Saturday's in March Kiwanians organize reading sessions and literacy programs at Plaza Mariachi.  """
Richmond,Capital,Childhood literacy,Little Free Library,"""Our Club has built and sustains 3 Little Free Libraries in Richmond's Carver neighborhood, serving both children and adults of that underserved community."""
Fremont,Nebraska-Iowa,Childhood literacy,Head Start reading and book distribution,"""We have collaborated with Head Start since 2000 by reading in each of the classrooms weekly and gifting a book a child chooses 3x a year for them to take home. It is a great partnership and for many children, this may be the first book they own."""
Rochester,Minnesota-Dakotas,Childhood literacy,Early Childhood Development,"""Chilhood development: Provide free books, reading, education to pre-schoolers via club member direct actions and financial aid to area non-profits."""
"Lake View, Chicago",Illinois-Eastern Iowa,Childhood literacy,FREADOM Road,"""Literacy Program for ages birth to 8 years of age. Provide new books for the small child and for the family to promote literacy and prevent failure in school and in life."""
Richland Center,Wisconsin-Upper Michigan,Childhood literacy,Back to School Backpack and School Supplies ,"""Club purchases individual school backpacks and fills those backpacks with personalized school supplies for students in need. Club conducts fund raisers and creates community partners to pay for the backpacks and school supplies. """
Sun City Georgetown,Texas-Oklahoma,Childhood literacy,Literacy Program,"""Reading to pre-k up to 2nd grade and provide books to take home.  Fund ""Battle of the Books"" at Georgetown Public Library for Middle Schoolers"""
Lansdale,Pennsylvania,Childhood literacy,Annual Citrus Fruit Sale ,"""Since 1976 Lansdale Kiwanis has raised funds for the children of the North Penn Valley through our Annual Citrus Fruit Sale. Who can't support adding a bit of sunshine into lives of our children and youth? Held in December, proceeds go to increasing childhood literacy. """
Rice Lake,Wisconsin-Upper Michigan,Childhood literacy,Kiwanis Cans for Kids and Sink the Can,"""We collect cans year-round as a fund-raiser  Our annual Sink the Can raffle contest is our largest fund raiser for the year. Funds are used to support projects in the community."""
Beverly,New England and Bermuda,Childhood literacy,Dr. Seuss Green Eggs and Ham Character Breakfast,"""Each year kids enjoy Green Eggs and Ham among costumed characters including The Cat in the Hat and other popular names. In addition to a novel breakfast, each kids gets to choose a book to take home. Face painting and other kid-friendly activities are popular too. """
Tifton,Georgia,Childhood literacy,24 Books of Christmas,"""Books are collected, wrapped individually and put in baskets of 24.  Given to a child on Dec 1st so they have a present to open each day until Christmas and then they have 24 books to keep."""
North Spokane,Pacific Northwest,Childhood literacy,Third Grade Book Project,"""Annually our club gives a book to each third grader in 12 Title 1 Schools in North Spokane. The children pick their books from a list we provide.  Then we deliver the books personally, which gives us a chance to also tell them about Kiwanis and the importance of reading. """
Milton/Warrior Run,Pennsylvania,Childhood literacy,Laundromat Libraries ,"""We have 3 small libraries set up in three town laundromats.  Children may read the books that are on the shelves and if they love the book, they may take it home with them."""
Dover,Kentucky-Tennessee,Childhood literacy,Stewart Co. Library various programs,"""We support the Dolly Parton books from birth program; we are the only supporters and totally fund book of the month club we purchase 2 books each month for pre school children and read these books each month to groops of preschool children we sponsor BSA Troop and pack 501"""
Solvay Geddes Camillus,New York,Childhood literacy,Readers from  Birth/Priority One,"""Children ages birth to age 5 importance of reading.  Books range according to subject, events of the month, crafts, snacks, parents also invited."""
Los Alamos,Southwest,Childhood literacy,African Library Project,"""Collecting and distributing children's books to libraries in Africa"""
Garden City,Michigan,Childhood literacy,The Dictionary Project,"""Supplying a dictionary to every third grader in Garden City, Michigan and this year we have started the same program for sixth graders"""
East Lansing,Michigan,Childhood literacy,Providing Book Vending Machines and Books to  East Lansing Schols,"""We are working with the East Lansing Public Schools to provide Elementary Schools with book vending machine that will be filled with books that the children can access with reward tokens.  This is an exciting project to promote children's literacy. """
Madison East,Wisconsin-Upper Michigan,Childhood literacy,I pads for autistic children and Cops 'n Kids,"""Providing iPads for autistic children and police men and women reading to young children who are learning to read"""
"Azalea City (The), Palatka",Florida,Childhood literacy,Baby Brain Builders,"""Childrens Reading Iniatives"""
Mission Viejo,California-Nevada-Hawaii,Childhood literacy,Tale Trail,"""Walking trail with sign posts at intervals for children to read chapters of a story."""
Bogota,Colombia,Childhood literacy,Niño Joven Educándolos para la Paz,"""Aulas de Aprovechamiento del tiempo libre después de su jornada de educación escolar formal"""
San Luis Obispo Morning,California-Nevada-Hawaii,Childhood literacy,Books for Kids,"""Every year we give out $500 of new books during spring vacation, and every week, we donate a book in honor of our speaker to HeadStart."""
"Riverview, Wenatchee",Pacific Northwest,Childhood literacy,WORDS FOR THIRDS,"""PERSONAL DICTONARIES FOR EVERY THIRD GRADER"""
Hillsborough,Carolinas,Childhood literacy,"Turning Rituals into Rewards: How the Positive Habits of Reading, Writing snf Running (or other exercise) can transform Lives","""Hillsborough Kiwanis Club is providing booklets for the above program (Turning Rituals into Rewards). It is a 48 page booklet that encourages students to log running and reading. We are partnering with the Hillsborough Running Club. """
Covington,Pacific Northwest,Childhood literacy,Books for Babies,"""We provide an age appropriate book, stuffed animal, and a warm hat for all babies born in the Covington Multicare Hospital."""
Dothan,Alabama,Childhood literacy,Reading Is Fundamental,"""We purchase three books per every Dothan area Headstart child per school quarter. After the books are delivered to the schools, we go and read the new books to the children to help promote literacy."""
Cypress,California-Nevada-Hawaii,Childhood literacy,Book Initiative,"""Provide books to low income children five times during each summer. Approximately 120 children received books during 2017-18."""
Iowa City-Old Capitol,Nebraska-Iowa,Childhood literacy,Financial Literacy Fair,"""Assist a local college in providing information on how to manage a budget based on the career that the 8th grade student is thinking of pursuing.  Once they know their expected income they have to plan their expenses from housing, eating, and several other expenses and unexpected"""
Bloomington Golden K,Illinois-Eastern Iowa,Childhood literacy,Stevenson Elementary School Promise Council,"""We are partnered with Stevenson Elementary School by the area Promise Council to support the education of attending students.  We built and maintain a Literacy Garden to promote reading skills."""
Spring Valley,Minnesota-Dakotas,Childhood literacy,Halloween Open House,"""Our club hosts a open house on October 31st each year for the children of the community. There are games for the kids to play with prizes. There is a reading table where an adult reads a children's and the children take book Each child receives a treat bag as they leave the party"""
Tuscola,Illinois-Eastern Iowa,Childhood literacy,Kiwanis Free Library,"""Established 2 libraries at the county health department and the mental health center."""
Morrow County,Ohio,Childhood literacy,Dolly Parton Imagination Library,"""Our club sponsors the DPIL program to children in MorrowCounty, ages birth up to age 5. Children receive a FREE age-appropriate book monthly """
Lake San Marcos,California-Nevada-Hawaii,Childhood literacy,Annual Kiwanis San Marcos Holiday Parade,"""Over 1200 participants in the annual parade.  The Captain Book truck gives out 2000 children's books along the parade route,"""
Ripon,Wisconsin-Upper Michigan,Childhood literacy,Children's Learning Fair,"""A free event for the children in the community to engage with different clubs and organizations throughout the community and school district. """
Downtown Madison,Wisconsin-Upper Michigan,Childhood literacy,Madison Reading Project,"""Provides reading books for elementary age children."""
Cincinnati,Ohio,Childhood literacy,Hands On Service,"""We focus on hands on service for area children in the need categories of food security, literacy, service leadership development, and mentoring."""
Rolla Breakfast Club,Missouri-Arkansas,Childhood literacy,Reading Is FUNdamental,"""We distribute appropriate books to pre-school children throughout day care locations and Head Start at least twice a year."""
Harrisonburg,Capital,Childhood literacy,First Friday Free,"""The Kiwanis Club of Harrisonburg sponsors the First Friday Free program at the Explore More Discovery Museum at 150 S. Main in Harrisonburg. This program provides free admission for any child the First Friday of each month. Many children who would no otherwise enjoy this get to"""
Forest City-London,Eastern Canada and the Caribbean,Childhood literacy,Baby's Book Bag Project,"""The Baby’s Book Bag Project is a collaborative effort of the Child and Youth Network, the Middlesex London Health Unit and The Kiwanis Club of Forest City-London. Each month, members of the Club attend several Middlesex London Health Unit pre-natal classes, at which time a “Baby"""
"Dawn Busters, Metairie",Louisiana-Mississippi-West Tennessee,Childhood literacy,Rewards for Reading,"""Enhance Childhood Reading Appreciation and Comprehension"""
"Sunshine City, Saint Petersburg",Florida,Childhood literacy,Mad Hatter Tea Party,"""""Unbirthday ""party for 250-350 children in either foster care or underserved families in Pinellas County. The children are provided with backpacks and school supplies as their party gifts. Food and snacks are given to all family members at the event."""
Roxas City,Southern Philippine,Childhood literacy,TALKING ENCYCLOPEDIA,"""The TALKING ENCYCLOPEDIA is an Interactive Tool to boost the child's curiousity in learning. Composed of 20 volumes Interactive books, and a Talking Interactive Pen. Learning is fun and easy, through the Talking Pen's ability to read and teach the child book by book."""
Provo,Utah-Idaho,Childhood literacy,Four of July Pancake Breakfast,"""The club serves a pancake breakfast to the community during the Freedom Festival.  This activity lasts for three days the first part of July each year."""
Big Lagoon-Pensacola,Florida,Childhood literacy,"""Reading Builds Leaders""","""Big Lagoon Kiwanians are committed to our “Reading Builds Leaders” program. There are tasks for everyone including ordering books; placing Kiwanis labels in over 6000 books; storing and delivering the books; and reading and pantomiming fun books.  """
Fullerton,California-Nevada-Hawaii,Childhood literacy,Book Giveaway,"""Yearly long book drive culminates with a book giveaway in December.  In partnership with the Boys and Girls Club Holiday Giveaway."""
Starkville,Louisiana-Mississippi-West Tennessee,Childhood literacy,United We Read,"""Club members gather weekly at a community market and distribute free books to children and adults.  The books are donated or purchased with club funds.  Average distributions are about 250 each week."""
"Botetourt County, Troutville",Capital,Childhood literacy,Dolly Parton's Imagination Library,"""The Kiwanis Club of Botetourt manages Dolly Parton's Imagination Library in Botetourt County.  The library is a program that sends free books to children from birth to age five in five countries. """
Golden K of Grand Rapids,Michigan,Childhood literacy,Dictionary project,"""Every third grader in the Grand Rapids Public Schools receives a paperback dictionary to aid in their development as a student"""
Ormond Beach,Florida,Childhood literacy,Kiwanis READS! Backers 4 Books,"""2020 Kiwanis International Signature Project Gold Contest Winner: 3 Pillars are 1: Build home libraries, 2. Build classroom libraries, and 3. Build a culture of independent reading across Ormond Beach. """
Sandusky,Ohio,Childhood literacy,SIG,"""Sandusky Imagination Library"""
Corning,New York,Childhood literacy,Reading is Fundamental (RIF),"""We read and supply books to approximately 500 children in grades K-2 several times a year!"""
Plantation,Florida,Childhood literacy,The Dictionary & Book Project,"""A dictionary to every third grader and an age-appropriate book to every first grader"""
